zipcode,state,city,zone
7934,NJ,Gladstone,8
7935,NJ,Green Village,8
7936,NJ,East Hanover,8
7940,NJ,Madison,8
7945,NJ,Mendham,8
7946,NJ,Millington,8
7950,NJ,Morris Plains,8
7960,NJ,Morristown,8
7974,NJ,New Providence,8
7976,NJ,New Vernon,8
7980,NJ,Stirling,8
7981,NJ,Whippany,8
8002,NJ,Cherry Hill,8
8003,NJ,Cherry Hill,8
8004,NJ,Atco,8
8007,NJ,Barrington,8
8009,NJ,Berlin,8
8010,NJ,Beverly,8
8012,NJ,Blackwood,8
8014,NJ,Bridgeport,8
8015,NJ,Browns Mills,8
8016,NJ,Burlington,8
8020,NJ,Clarksboro,8
8021,NJ,Clementon,8
8022,NJ,Columbus,8
8026,NJ,Gibbsboro,8
8027,NJ,Gibbstown,8
8028,NJ,Glassboro,8
8029,NJ,Glendora,8
8030,NJ,Gloucester City,8
8031,NJ,Bellmawr,8
8032,NJ,Grenloch,8
8033,NJ,Haddonfield,8
8034,NJ,Cherry Hill,8
8035,NJ,Haddon Heights,8
8036,NJ,Hainesport,8
8041,NJ,Jobstown,8
8043,NJ,Voorhees,8
8045,NJ,Lawnside,8
8046,NJ,Willingboro,8
8048,NJ,Lumberton,8
8049,NJ,Magnolia,8
8051,NJ,Mantua,8
8052,NJ,Maple Shade,8
8053,NJ,Marlton,8
8054,NJ,Mount Laurel,8
8055,NJ,Medford,8
8056,NJ,Mickleton,8
8057,NJ,Moorestown,8
8059,NJ,Mount Ephraim,8
8060,NJ,Mount Holly,8
8061,NJ,Mount Royal,8
8062,NJ,Mullica Hill,8
8063,NJ,National Park,8
8065,NJ,Palmyra,8
8066,NJ,Paulsboro,8
8067,NJ,Pedricktown,8
8068,NJ,Pemberton,8
8069,NJ,Penns Grove,8
8070,NJ,Pennsville,8
8071,NJ,Pitman,8
8075,NJ,Riverside,8
8077,NJ,Riverton,8
